age,gender,SPS,FA1,FA2,FA3,FA4,RAT,BT,CSE,Group,Stage1,Stage2,Num,Stage2_Stage1
21,1,69,8,1,7,3,1,2,40,0,9,10,1,1
20,2,70,3,4,7,4,5,7,29,0,7,11,2,4
21,2,79,9,9,30,15,7,6,39,0,18,45,4,27
19,2,82,4,6,6,9,3,3,28,0,10,15,6,5
20,1,83,2,5,4,3,6,10,24,0,7,7,7,0
20,1,83,4,9,7,9,4,6,13,0,13,16,8,3
21,2,83,4,9,11,4,6,3,29,0,13,15,9,2
18,1,83,1,2,5,9,8,10,40,0,3,14,10,11
20,1,85,12,17,14,10,7,5,30,0,29,24,11,-5
20,2,85,1,3,9,3,5,6,23,0,4,12,12,8
20,2,87,4,4,23,12,8,6,27,0,8,35,13,27
21,1,88,16,14,12,6,9,6,30,0,30,18,14,-12
19,2,88,5,12,14,8,5,4,18,0,17,22,15,5
20,2,89,7,15,14,19,5,2,21,0,22,33,16,11
18,1,90,4,7,8,11,8,4,22,0,11,19,17,8
20,2,90,1,5,10,4,7,4,24,0,6,14,18,8
21,2,91,7,7,7,5,3,6,22,0,14,12,19,-2
19,1,92,2,3,5,12,7,8,30,0,5,17,21,12
20,1,92,4,5,9,6,8,4,24,0,9,15,22,6
20,2,93,2,3,7,7,5,7,20,0,5,14,23,9
21,2,93,2,12,9,9,10,3,26,0,14,18,24,4
19,2,94,14,16,34,12,10,5,24,0,30,46,25,16
20,2,94,3,23,17,9,5,4,24,0,26,26,27,0
,,,,,,,,,,,13.47826087,19.91304348,,
20,2,95,1,8,12,7,9,5,26,0,9,19,28,10
19,2,95,6,10,9,7,4,4,24,0,16,16,29,0
20,2,95,1,12,5,9,5,3,24,0,13,14,30,1
19,2,95,3,3,4,4,9,7,34,0,6,8,31,2
19,2,96,9,14,12,16,8,6,28,0,23,28,32,5
18,1,96,4,2,4,8,8,7,36,0,6,12,33,6
20,2,97,7,7,13,10,6,5,26,0,14,23,34,9
22,2,97,18,16,19,6,6,8,27,0,34,25,35,-9
20,2,97,6,5,7,6,4,4,30,0,11,13,36,2
19,2,97,4,1,5,6,4,4,34,0,5,11,37,6
22,1,98,8,10,26,12,10,8,33,0,18,38,38,20
20,2,98,11,11,14,11,6,5,17,0,22,25,39,3
18,2,98,11,14,15,7,4,5,40,0,25,22,40,-3
20,2,98,7,20,12,11,2,8,18,0,27,23,41,-4
19,2,98,3,4,3,4,6,4,23,0,7,7,42,0
21,2,99,3,10,8,7,5,3,34,0,13,15,43,2
18,2,99,2,1,6,7,8,5,27,0,3,13,44,10
19,2,99,8,23,19,13,9,8,20,0,31,32,45,1
21,2,99,8,18,12,16,4,6,29,0,26,28,46,2
21,2,99,3,8,11,11,9,6,28,0,11,22,47,11
18,2,99,2,11,10,7,8,6,30,0,13,17,48,4
22,2,99,13,18,24,19,5,8,31,0,31,43,49,12
20,2,99,9,19,33,14,8,7,30,0,28,47,50,19
22,1,100,3,5,12,15,6,1,28,0,8,27,51,19
18,1,100,3,6,7,7,7,8,32,0,9,14,52,5
20,2,102,4,13,8,8,2,4,24,0,17,16,53,-1
18,2,102,10,14,21,11,8,4,30,0,24,32,54,8
21,1,102,1,5,6,3,7,3,16,0,6,9,55,3
21,1,104,5,13,17,6,3,6,37,0,18,23,56,5
18,1,104,4,6,18,21,5,7,34,0,10,39,57,29
19,2,104,4,5,9,10,6,9,24,0,9,19,58,10
19,2,104,8,10,11,11,5,6,24,0,18,22,59,4
18,2,104,3,6,4,4,5,7,28,0,9,8,60,-1
19,1,105,4,2,1,7,8,4,24,0,6,8,61,2
20,2,105,7,15,17,11,3,1,30,0,22,28,62,6
19,2,105,7,11,9,8,8,3,40,0,18,17,63,-1
20,1,105,3,6,5,6,8,8,23,0,9,11,64,2
21,1,106,5,8,6,6,1,9,38,0,13,12,65,-1
22,2,106,3,4,4,7,7,3,31,0,7,11,66,4
19,2,106,4,12,9,8,8,4,13,0,16,17,67,1
18,2,106,6,5,8,7,9,6,33,0,11,15,68,4
20,2,106,4,11,9,11,10,6,20,0,15,20,69,5
22,1,107,7,8,17,12,5,6,27,0,15,29,71,14
21,2,107,3,4,6,6,10,3,20,0,7,12,72,5
20,2,107,3,10,13,7,6,2,24,0,13,20,73,7
21,1,107,7,9,10,2,11,4,26,0,16,12,74,-4
22,1,107,3,7,12,7,5,5,23,0,10,19,75,9
20,2,107,8,4,14,7,2,7,34,0,12,21,76,9
,,,,,,,,,,,14.79166667,20.04166667,,
18,2,108,6,6,5,6,10,5,18,0,12,11,77,-1
20,1,108,9,11,16,15,2,3,41,0,20,31,78,11
20,2,108,8,9,15,16,7,4,26,0,17,31,79,14
21,2,108,4,13,5,8,4,5,12,0,17,13,80,-4
19,2,109,1,5,6,8,4,5,31,0,6,14,81,8
18,2,109,15,7,23,8,5,2,25,0,22,31,82,9
20,2,110,7,7,8,10,5,3,32,0,14,18,83,4
21,1,110,1,3,8,10,6,6,19,0,4,18,84,14
22,2,110,2,6,21,12,3,3,38,0,8,33,85,25
21,2,111,1,4,2,5,6,1,28,0,5,7,86,2
20,2,111,4,15,12,12,5,6,24,0,19,24,87,5
20,2,112,3,7,11,9,7,4,19,0,10,20,88,10
21,2,112,1,8,8,10,7,4,27,0,9,18,89,9
21,2,112,2,6,13,6,4,2,29,0,8,19,90,11
21,2,112,4,16,24,10,5,2,36,0,20,34,91,14
21,1,112,9,8,10,8,5,5,25,0,17,18,92,1
18,2,113,6,8,8,8,5,4,22,0,14,16,93,2
21,2,113,10,7,11,13,10,9,32,0,17,24,94,7
19,2,114,7,6,12,6,2,3,24,0,13,18,95,5
18,2,114,3,6,22,9,6,4,30,0,9,31,96,22
19,2,115,3,15,26,12,6,6,21,0,18,38,97,20
20,2,116,11,15,25,15,9,3,38,0,26,40,98,14
20,2,116,6,23,10,9,6,4,30,0,29,19,99,-10
19,2,116,5,6,9,7,9,6,24,0,11,16,100,5
20,1,118,3,4,7,8,7,5,18,0,7,15,101,8
18,2,119,1,8,7,4,9,3,35,0,9,11,102,2
22,2,120,5,7,16,14,8,5,15,0,12,30,103,18
21,2,121,15,22,11,9,5,5,37,0,37,20,104,-17
19,2,126,3,7,11,11,7,5,28,0,10,22,105,12
,,,,,,,,,,,14.48275862,22.06896552,,
