Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
1,3,2,3,3,4,4,4,3,4,4,5,4,4,4,3,4,4,4,5,4,3,4,3,4,3,3,5,3,4
2,4,1,4,3,4,2,4,2,2,4,4,3,5,4,3,4,3,5,5,3,3,3,4,2,4,4,4,3,3
3,2,2,2,4,4,2,4,2,2,4,3,4,4,3,2,2,4,4,4,3,3,2,2,4,3,2,3,4,4
4,5,1,3,4,2,4,5,2,4,5,4,4,4,3,3,4,4,5,4,2,4,4,3,4,4,3,4,4,4
5,5,1,2,4,4,5,4,4,3,5,5,5,5,3,3,4,4,5,3,1,3,5,4,5,4,4,4,4,5
6,5,1,3,4,4,1,5,4,5,4,5,4,4,5,3,1,4,5,5,1,5,1,4,2,5,5,5,3,1
7,4,1,4,5,5,4,5,3,2,4,5,5,2,4,3,5,5,5,4,2,2,2,1,5,4,2,3,4,5
8,4,1,4,4,3,2,4,5,2,5,4,5,4,4,1,3,4,3,2,2,2,1,1,3,2,2,3,3,5
9,5,1,5,5,5,5,3,3,5,5,5,5,5,3,3,5,3,5,5,2,5,5,3,5,5,3,5,5,1
10,5,1,4,4,5,5,5,2,4,5,5,5,5,2,3,5,2,5,5,1,5,5,5,5,5,3,5,3,5
11,2,2,4,3,3,2,2,4,2,2,2,4,2,3,4,5,2,4,4,2,2,3,4,4,4,2,4,4,4
12,5,1,4,5,4,2,3,2,4,5,4,4,3,4,2,4,4,4,4,2,3,4,3,5,3,4,4,4,4
13,5,2,3,4,5,5,4,4,5,5,5,4,4,5,4,5,5,5,4,3,4,5,4,4,5,4,5,5,5
14,4,2,4,3,5,1,5,2,1,5,5,5,3,3,2,4,2,5,3,1,4,4,4,5,3,2,5,3,1
15,4,2,3,4,4,2,5,3,5,5,5,5,5,5,3,4,4,5,5,2,4,5,3,5,5,3,4,4,3
16,2,2,3,4,5,4,4,4,5,5,5,5,4,5,3,4,4,5,5,1,4,3,4,4,5,3,5,4,4
17,3,1,4,4,2,4,5,2,1,4,5,2,5,5,2,4,5,3,3,2,2,2,2,5,2,2,4,1,1
18,3,1,4,3,4,4,5,3,4,5,5,4,5,3,3,5,4,4,5,1,4,2,4,4,4,4,5,3,4
19,4,2,2,3,4,3,3,1,2,4,5,3,3,4,4,4,2,4,3,5,4,4,4,5,4,3,5,3,5
20,5,2,4,5,4,3,4,4,5,5,5,5,4,5,4,4,4,4,5,4,3,4,3,5,4,3,5,5,5
21,3,1,2,5,1,5,2,1,5,5,5,5,5,5,5,5,4,5,5,1,3,5,3,5,3,5,5,3,5
22,4,1,4,5,2,3,3,1,1,3,5,4,1,4,1,3,3,2,2,1,2,4,2,2,2,1,3,1,4
23,4,2,4,4,3,3,5,4,5,4,5,5,5,4,2,3,4,2,3,1,2,4,2,5,2,1,4,3,3
24,3,2,3,4,4,4,4,5,3,3,4,5,4,4,4,5,4,5,5,3,2,5,3,5,5,3,5,5,4
25,2,2,4,4,4,3,5,2,4,4,4,4,4,3,2,4,4,4,4,2,3,3,3,4,4,4,4,4,2
26,1,2,4,4,3,3,5,2,4,3,5,5,5,2,3,5,3,5,4,5,4,5,4,4,4,3,5,5,4
27,2,2,3,4,5,2,2,1,2,5,4,2,2,4,1,4,2,2,4,1,1,4,2,1,2,5,2,4,5
28,1,2,3,4,4,5,2,3,5,4,4,4,4,4,5,4,4,4,3,4,3,4,3,4,3,4,4,2,2
29,3,1,4,4,4,4,5,2,4,5,5,5,5,5,4,5,1,5,4,4,3,3,4,4,3,4,4,2,2
30,1,2,3,4,4,2,3,2,4,4,4,5,4,4,2,4,4,5,4,3,2,4,4,4,3,5,4,4,4
31,3,1,3,4,1,3,2,4,3,4,4,2,3,3,3,4,1,4,2,3,3,5,3,3,3,3,3,4,3
